time,lat,long,z,magn
2011-03-15,41.760463,-87.615326,2,4.5
2011-03-15,41.768603,-87.574066,2,4.5
2011-03-15,41.773377,-87.573928,2,4.5
2011-03-15,41.771990,-87.573867,2,4.5
2011-03-15,41.757894,-87.562855,2,4.5
2011-03-15,41.760212,-87.560434,2,4.5
2011-03-15,41.756016,-87.556512,2,4.5
2011-03-15,41.754718,-87.554913,2,4.5
2011-03-16,41.842808,-87.660282,2,4.5
2011-03-16,41.787068,-87.617265,2,4.5
2011-03-16,41.817414,-87.601724,2,4.5
2011-03-16,41.759997,-87.585621,2,4.5
2011-03-16,41.773113,-87.572674,2,4.5
2011-03-16,41.769045,-87.568367,2,4.5
2011-03-16,41.753656,-87.565849,2,4.5
2011-03-16,41.756734,-87.562545,2,4.5
2011-03-16,41.756700,-87.552921,2,4.5
2011-03-17,41.840658,-87.651865,2,4.5
2011-03-17,41.761429,-87.619846,2,4.5
2011-03-17,41.805510,-87.606331,2,4.5
2011-03-17,41.768645,-87.588744,2,4.5
2011-03-17,41.764612,-87.584881,2,4.5
2011-03-17,41.753682,-87.564190,2,4.5
2011-03-17,41.753325,-87.561565,2,4.5
2011-03-17,41.758774,-87.561660,2,4.5
2011-03-17,41.759769,-87.559071,2,4.5
2011-03-18,41.839745,-87.655626,2,4.5
2011-03-18,41.825500,-87.637322,2,4.5
2011-03-18,41.772398,-87.628506,2,4.5
2011-03-18,41.789116,-87.623374,2,4.5
2011-03-18,41.803766,-87.619231,2,4.5
2011-03-18,41.828890,-87.616956,2,4.5
2011-03-18,41.804328,-87.615167,2,4.5
2011-03-18,41.775234,-87.612062,2,4.5
2011-03-18,41.800578,-87.603793,2,4.5
2011-03-18,41.772518,-87.576326,2,4.5
2011-03-18,41.753366,-87.566124,2,4.5
2011-03-18,41.755259,-87.565804,2,4.5
2011-03-18,41.756734,-87.562545,2,4.5
2011-03-19,41.789359,-87.621704,2,4.5
2011-03-19,41.828122,-87.620633,2,4.5
2011-03-19,41.784461,-87.613100,2,4.5
2011-03-19,41.759362,-87.605560,2,4.5
2011-03-19,41.777992,-87.604796,2,4.5
2011-03-19,41.763672,-87.583754,2,4.5
2011-03-19,41.770225,-87.573815,2,4.5
2011-03-19,41.759119,-87.564683,2,4.5
2011-03-19,41.753562,-87.551740,2,4.5
2011-03-20,41.841277,-87.655485,2,4.5
2011-03-20,41.787806,-87.622435,2,4.5
2011-03-20,41.800127,-87.604078,2,4.5
2011-03-20,41.760732,-87.562892,2,4.5
2011-03-21,41.818613,-87.633473,2,4.5
2011-03-21,41.770010,-87.618738,2,4.5
2011-03-21,41.812020,-87.615253,2,4.5
2011-03-21,41.768625,-87.590909,2,4.5
2011-03-21,41.774322,-87.590095,2,4.5
2011-03-21,41.754408,-87.584620,2,4.5
2011-03-21,41.768660,-87.571624,2,4.5
2011-03-21,41.753681,-87.564262,2,4.5
2011-03-21,41.758226,-87.561367,2,4.5
2011-03-21,41.757334,-87.553997,2,4.5
2011-03-22,41.837534,-87.640332,2,4.5
2011-03-22,41.754114,-87.636675,2,4.5
2011-03-22,41.772716,-87.622987,2,4.5
2011-03-22,41.770299,-87.621965,2,4.5
2011-03-22,41.773980,-87.614131,2,4.5
2011-03-22,41.804176,-87.614865,2,4.5
2011-03-22,41.783032,-87.610716,2,4.5
2011-03-22,41.812464,-87.604579,2,4.5
2011-03-22,41.783317,-87.602897,2,4.5
2011-03-22,41.777432,-87.593156,2,4.5
2011-03-22,41.758922,-87.582532,2,4.5
2011-03-22,41.768084,-87.576864,2,4.5
2011-03-22,41.756381,-87.562830,2,4.5
2011-03-22,41.758514,-87.555812,2,4.5
2011-03-23,41.842247,-87.652881,2,4.5
2011-03-23,41.754220,-87.636965,2,4.5
2011-03-23,41.831892,-87.623127,2,4.5
2011-03-23,41.777981,-87.617130,2,4.5
2011-03-23,41.756926,-87.607955,2,4.5
2011-03-23,41.810545,-87.607968,2,4.5
2011-03-23,41.775858,-87.599602,2,4.5
2011-03-23,41.759949,-87.593115,2,4.5
2011-03-23,41.781394,-87.591520,2,4.5
2011-03-23,41.756011,-87.581122,2,4.5
2011-03-23,41.753690,-87.577096,2,4.5
2011-03-23,41.756844,-87.575019,2,4.5
2011-03-23,41.752862,-87.566107,2,4.5
2011-03-23,41.760939,-87.564578,2,4.5
2011-03-23,41.751932,-87.559123,2,4.5
2011-03-23,41.758329,-87.556869,2,4.5
2011-03-23,41.753562,-87.551740,2,4.5
2011-03-23,41.756010,-87.552194,2,4.5
2011-03-24,41.757351,-87.631090,2,4.5
2011-03-24,41.770121,-87.628135,2,4.5
2011-03-24,41.758063,-87.626081,2,4.5
2011-03-24,41.758150,-87.623303,2,4.5
2011-03-24,41.774518,-87.622908,2,4.5
2011-03-24,41.789933,-87.622191,2,4.5
2011-03-24,41.754532,-87.612731,2,4.5
2011-03-24,41.755042,-87.584048,2,4.5
2011-03-24,41.768185,-87.567421,2,4.5
2011-03-24,41.756925,-87.556700,2,4.5
2011-03-25,41.765503,-87.632625,2,4.5
2011-03-25,41.770515,-87.623567,2,4.5
2011-03-25,41.778013,-87.606024,2,4.5
2011-03-25,41.765294,-87.581772,2,4.5
2011-03-25,41.764404,-87.579742,2,4.5
2011-03-25,41.772014,-87.576298,2,4.5
2011-03-25,41.756239,-87.562540,2,4.5
2011-03-25,41.752201,-87.552029,2,4.5
2011-03-26,41.838402,-87.658972,2,4.5
2011-03-26,41.845497,-87.641917,2,4.5
2011-03-26,41.839070,-87.633060,2,4.5
2011-03-26,41.829347,-87.620645,2,4.5
2011-03-26,41.774693,-87.610529,2,4.5
2011-03-26,41.772061,-87.584901,2,4.5
2011-03-26,41.772061,-87.584901,2,4.5
2011-03-26,41.760982,-87.559514,2,4.5
